complaint_id,description,violation_category
C07070,nagreport si teacher na nagdala ng cellphone kahit bawal sa library. (wearing ripped or revealing clothes),Wearing Ripped or Revealing Clothes
C07071,As stated in the complaint nang-insulto ng teacher sa library. (falsification of documents),Falsification of Documents
C07072,It was reported that nang-insulto ng teacher sa gym. (cybersecurity breach (plagiarism)),Cybersecurity Breach (Plagiarism)
C07073,caught siya na walang suot na ID sa classroom. (using gadgets without permission),Using Gadgets Without Permission
C07074,As stated in the complaint nagdala ng cellphone kahit bawal sa hallway. (shoplifting),Shoplifting
C07075,nagreport si teacher na nang-insulto ng teacher sa gym. (unauthorized use of information),Unauthorized Use of Information
C07076,may nagsumbong na nag-aaway malapit sa gate. (forgery),Forgery
C07077,The student was observed sumisigaw sa canteen. (bullying students physically),Bullying Students Physically
C07078,nahuli siya na nakipagsuntukan sa gym. (bringing dishonor to school),Bringing Dishonor to School
C07079,may nagsumbong na nang-insulto ng teacher sa gym. (jumping over the fence),Jumping Over the Fence
C07080,As stated in the complaint nagpost ng bastos na picture sa library. (using gadgets without permission),Using Gadgets Without Permission
C07081,nakita ko na nang-insulto ng teacher sa classroom. (lack of respect to faculty),Lack of Respect to Faculty
C07082,Based on teacher's report nangopya sa library. (leaving classroom without permission),Leaving Classroom Without Permission
C07083,The student was observed naka improper uniform sa classroom. (using foul gestures),Using Foul Gestures
C07084,caught siya na sumisigaw sa gym. (jumping over the fence),Jumping Over the Fence
C07085,nakita ko na nagche-cheat sa exam sa hallway. (membership in fraternities),Membership in Fraternities
C07086,Based on teacher's report nagche-cheat sa exam sa hallway. (bullying faculty members),Bullying Faculty Members
C07087,caught siya na nagpost ng bastos na picture sa hallway. (wearing inappropriate/incomplete uniform),Wearing Inappropriate/Incomplete Uniform
C07088,nakita ko na nagpost ng bastos na picture sa library. (not following prescribed haircut),Not Following Prescribed Haircut
C07089,According to CCTV footage nagdala ng cellphone kahit bawal sa library. (spreading gossip online),Spreading Gossip Online
C07090,nakita ko na sumisigaw sa canteen. (wearing improper pe uniform),Wearing Improper PE Uniform
C07091,may nagsumbong na naka improper uniform malapit sa gate. (lending/borrowing another person’s id),Lending/Borrowing Another Person’s ID
C07092,may nagsumbong na nang-insulto ng teacher sa gym. (willful damage of property),Willful Damage of Property
C07093,It was reported that nag-aaway sa canteen. (shouting or making noise in public areas),Shouting or Making Noise in Public Areas
C07094,nagreport si teacher na nag-aaway sa classroom. (recruitment in sororities/fraternities),Recruitment in Sororities/Fraternities
C07095,As stated in the complaint nag-aaway sa library. (membership in fraternities),Membership in Fraternities
C07096,The student was observed nakipagsuntukan sa library. (lack of respect to faculty),Lack of Respect to Faculty
C07097,caught siya na uminom ng alak sa computer lab. (not following prescribed haircut),Not Following Prescribed Haircut
C07098,nagreport si teacher na nakipagsuntukan sa gym. (falsification of documents),Falsification of Documents
C07099,As stated in the complaint nagche-cheat sa exam sa classroom. (indecency in media),Indecency in Media
C07100,As stated in the complaint walang suot na ID sa canteen. (lending/borrowing another person’s id),Lending/Borrowing Another Person’s ID
C07101,Based on teacher's report sumisigaw sa computer lab. (wearing heavy make-up),Wearing Heavy Make-up
C07102,As stated in the complaint nangopya sa gym. (conviction for criminal offense),Conviction for Criminal Offense
C07103,According to CCTV footage uminom ng alak sa library. (engaging in trouble outside campus),Engaging in Trouble Outside Campus
C07104,caught siya na sumisigaw sa classroom. (falsification of documents),Falsification of Documents
C07105,The student was caught nag-aaway sa hallway. (unauthorized enrichment or theft attempt),Unauthorized Enrichment or Theft Attempt
C07106,As stated in the complaint nang-insulto ng teacher sa hallway. (stealing school or student property),Stealing School or Student Property
C07107,caught siya na nang-insulto ng teacher sa computer lab. (inciting others to break rules),Inciting Others to Break Rules
C07108,nagreport si teacher na sumisigaw sa classroom. (posting indecent pictures online),Posting Indecent Pictures Online
C07109,nagreport si teacher na nakipagsuntukan sa classroom. (spreading gossip online),Spreading Gossip Online
C07110,Based on teacher's report nang-insulto ng teacher sa classroom. (lack of respect to faculty),Lack of Respect to Faculty
C07111,sinabihan ako na naglagay ng sticker sa ID sa library. (viewing pornographic sites),Viewing Pornographic Sites
C07112,It was reported that nang-insulto ng teacher sa gym. (unauthorized enrichment or theft attempt),Unauthorized Enrichment or Theft Attempt
C07113,As stated in the complaint nag-aaway sa gym. (unauthorized use of information),Unauthorized Use of Information
C07114,nahuli siya na nagdala ng cellphone kahit bawal sa library. (real acts of threat),Real Acts of Threat
C07115,As stated in the complaint nagyoyosi sa hallway. (jumping over the fence),Jumping Over the Fence
C07116,nahuli siya na nang-insulto ng teacher sa canteen. (recruitment in sororities/fraternities),Recruitment in Sororities/Fraternities
C07117,caught siya na nagpost ng bastos na picture malapit sa gate. (smoking or drinking alcohol on campus),Smoking or Drinking Alcohol on Campus
C07118,According to CCTV footage nang-insulto ng teacher sa classroom. (forgery),Forgery
C07119,As stated in the complaint nagyoyosi sa classroom. (stealing school or student property),Stealing School or Student Property
C07120,sinabihan ako na walang suot na ID sa library. (engaging in premarital sex),Engaging in Premarital Sex
C07121,Based on teacher's report uminom ng alak sa gym. (stealing school or student property),Stealing School or Student Property
C07122,nagreport si teacher na nagdala ng cellphone kahit bawal sa canteen. (public display of affection),Public Display of Affection
C07123,sinabihan ako na naglagay ng sticker sa ID sa hallway. (lack of respect to faculty),Lack of Respect to Faculty
C07124,may nagsumbong na uminom ng alak malapit sa gate. (spreading gossip online),Spreading Gossip Online
C07125,nagreport si teacher na nagyoyosi sa gym. (assault fellow students),Assault Fellow Students
C07126,As stated in the complaint nagche-cheat sa exam sa canteen. (drug pushing),Drug Pushing
C07127,nakita ko na uminom ng alak sa gym. (providing or financing drugs),Providing or Financing Drugs
C07128,According to CCTV footage uminom ng alak malapit sa gate. (forging signatures),Forging Signatures
C07129,As stated in the complaint nangopya sa library. (willful damage of property),Willful Damage of Property
C07130,The student was observed nagdala ng cellphone kahit bawal sa canteen. (stealing school or student property),Stealing School or Student Property
C07131,It was reported that walang suot na ID malapit sa gate. (shouting or making noise in public areas),Shouting or Making Noise in Public Areas
C07132,nakita ko na naka improper uniform sa hallway. (drug pushing),Drug Pushing
C07133,According to CCTV footage nakipagsuntukan malapit sa gate. (consistent violation of rules),Consistent Violation of Rules
C07134,As stated in the complaint sumisigaw sa canteen. (recruitment in sororities/fraternities),Recruitment in Sororities/Fraternities
C07135,sinabihan ako na nag-aaway malapit sa gate. (littering the campus),Littering the Campus
C07136,It was reported that nakipagsuntukan sa library. (forging signatures),Forging Signatures
C07137,may nagsumbong na nagche-cheat sa exam sa hallway. (extortion or blackmail),Extortion or Blackmail
C07138,caught siya na nagyoyosi sa gym. (public display of affection),Public Display of Affection
C07139,It was reported that uminom ng alak sa library. (forging signatures),Forging Signatures
C07140,The student was observed nagpost ng bastos na picture sa classroom. (assault fellow students),Assault Fellow Students
C07141,caught siya na nagche-cheat sa exam malapit sa gate. (shouting or making noise in public areas),Shouting or Making Noise in Public Areas
C07142,nakita ko na sumisigaw malapit sa gate. (insubordination to authorities),Insubordination to Authorities
C07143,nakita ko na sumisigaw sa computer lab. (unauthorized access to school computer),Unauthorized Access to School Computer
C07144,caught siya na uminom ng alak sa library. (engaging in gambling),Engaging in Gambling
C07145,nagreport si teacher na nagyoyosi sa computer lab. (indecency in media),Indecency in Media
C07146,It was reported that nang-insulto ng teacher sa canteen. (engaging in trouble outside campus),Engaging in Trouble Outside Campus
C07147,The student was observed naka improper uniform sa canteen. (posting indecent pictures online),Posting Indecent Pictures Online
C07148,The student was caught naglagay ng sticker sa ID sa canteen. (viewing pornographic sites),Viewing Pornographic Sites
C07149,nagreport si teacher na sumisigaw sa classroom. (falsification of documents),Falsification of Documents
C07150,nakita ko na nagpost ng bastos na picture sa library. (willful damage of property),Willful Damage of Property
C07151,nagreport si teacher na naka improper uniform sa gym. (not following prescribed haircut),Not Following Prescribed Haircut
C07152,As stated in the complaint uminom ng alak sa computer lab. (littering the campus),Littering the Campus
C07153,The student was caught naglagay ng sticker sa ID sa computer lab. (forging signatures),Forging Signatures
C07154,nahuli siya na nagche-cheat sa exam sa computer lab. (tampering with network settings),Tampering with Network Settings
C07155,sinabihan ako na walang suot na ID sa library. (viewing pornographic sites),Viewing Pornographic Sites
C07156,nahuli siya na nangopya sa hallway. (falsification of documents),Falsification of Documents
C07157,Based on teacher's report nangopya sa canteen. (indecency in media),Indecency in Media
C07158,As stated in the complaint naglagay ng sticker sa ID sa library. (unauthorized enrichment or theft attempt),Unauthorized Enrichment or Theft Attempt
C07159,caught siya na nag-aaway sa hallway. (insubordination to authorities),Insubordination to Authorities
C07160,According to CCTV footage nagdala ng cellphone kahit bawal sa gym. (using another person’s identity),Using Another Person’s Identity
C07161,It was reported that nangopya sa library. (not following prescribed haircut),Not Following Prescribed Haircut
C07162,nagreport si teacher na naka improper uniform sa computer lab. (providing or financing drugs),Providing or Financing Drugs
C07163,As stated in the complaint nag-aaway sa computer lab. (using another person’s identity),Using Another Person’s Identity
C07164,nagreport si teacher na nangopya sa canteen. (immoral conduct on/off campus),Immoral Conduct On/Off Campus
C07165,nagreport si teacher na walang suot na ID sa gym. (forging signatures),Forging Signatures
C07166,may nagsumbong na nang-insulto ng teacher malapit sa gate. (shoplifting),Shoplifting
C07167,According to CCTV footage uminom ng alak sa computer lab. (bullying students physically),Bullying Students Physically
C07168,may nagsumbong na nagpost ng bastos na picture sa hallway. (public display of affection),Public Display of Affection
C07169,Based on teacher's report nagche-cheat sa exam sa gym. (tampering with network settings),Tampering with Network Settings
C07170,nakita ko na nagpost ng bastos na picture sa gym. (colored or dyed hair/beard),Colored or Dyed Hair/Beard
C07171,According to CCTV footage uminom ng alak sa computer lab. (consistent violation of rules),Consistent Violation of Rules
C07172,Based on teacher's report nang-insulto ng teacher sa gym. (stealing school or student property),Stealing School or Student Property
C07173,It was reported that nangopya sa gym. (indecency in media),Indecency in Media
C07174,Based on teacher's report nagyoyosi sa classroom. (using another person’s identity),Using Another Person’s Identity
C07175,nahuli siya na nagpost ng bastos na picture sa computer lab. (consistent violation of rules),Consistent Violation of Rules
C07176,nagreport si teacher na nagdala ng cellphone kahit bawal sa library. (colored nail polish),Colored Nail Polish
C07177,Based on teacher's report nakipagsuntukan sa canteen. (assault fellow students),Assault Fellow Students
C07178,may nagsumbong na nang-insulto ng teacher sa classroom. (littering the campus),Littering the Campus
C07179,According to CCTV footage nagche-cheat sa exam sa hallway. (failure to comply with investigation),Failure to Comply with Investigation
C07180,may nagsumbong na nagpost ng bastos na picture malapit sa gate. (colored nail polish),Colored Nail Polish
C07181,According to CCTV footage nagpost ng bastos na picture sa gym. (immoral conduct on/off campus),Immoral Conduct On/Off Campus
C07182,sinabihan ako na naka improper uniform sa computer lab. (unexcused tardiness/absence from class),Unexcused Tardiness/Absence From Class
C07183,Based on teacher's report nakipagsuntukan sa hallway. (leaving classroom without permission),Leaving Classroom Without Permission
C07184,nahuli siya na nangopya sa classroom. (viewing pornographic sites),Viewing Pornographic Sites
C07185,may nagsumbong na naglagay ng sticker sa ID sa classroom. (disobedience or disrespect to authority),Disobedience or Disrespect to Authority
C07186,The student was observed nagyoyosi sa canteen. (bringing dishonor to school),Bringing Dishonor to School
C07187,The student was observed nakipagsuntukan sa canteen. (bullying students physically),Bullying Students Physically
C07188,nakita ko na nagyoyosi sa computer lab. (forging signatures),Forging Signatures
C07189,The student was observed nag-aaway sa hallway. (bullying students physically),Bullying Students Physically
C07190,The student was caught nag-aaway malapit sa gate. (indecency in media),Indecency in Media
C07191,sinabihan ako na nagpost ng bastos na picture sa hallway. (direct assault on authority),Direct Assault on Authority
C07192,The student was observed walang suot na ID sa library. (assault fellow students),Assault Fellow Students
C07193,nakita ko na walang suot na ID sa classroom. (consistent violation of rules),Consistent Violation of Rules
C07194,caught siya na nagdala ng cellphone kahit bawal sa classroom. (verbal or physical altercation),Verbal or Physical Altercation
C07195,nahuli siya na nagpost ng bastos na picture sa gym. (colored or dyed hair/beard),Colored or Dyed Hair/Beard
C07196,According to CCTV footage nang-insulto ng teacher sa library. (conviction for criminal offense),Conviction for Criminal Offense
C07197,The student was observed nang-insulto ng teacher sa canteen. (using gadgets without permission),Using Gadgets Without Permission
C07198,The student was caught nagyoyosi sa library. (forgery),Forgery
C07199,As stated in the complaint naglagay ng sticker sa ID malapit sa gate. (unauthorized enrichment or theft attempt),Unauthorized Enrichment or Theft Attempt
C07200,As stated in the complaint sumisigaw sa computer lab. (wearing scarves or caps),Wearing Scarves or Caps
C07201,caught siya na naka improper uniform sa gym. (wearing accessories not part of uniform),Wearing Accessories Not Part of Uniform
C07202,It was reported that nagche-cheat sa exam sa classroom. (willful damage of property),Willful Damage of Property
C07203,Based on teacher's report nang-insulto ng teacher sa gym. (purchase or sale of alcohol/cigarettes),Purchase or Sale of Alcohol/Cigarettes
C07204,Based on teacher's report nakipagsuntukan sa computer lab. (bullying students verbally),Bullying Students Verbally
C07205,sinabihan ako na nang-insulto ng teacher sa gym. (not following prescribed haircut),Not Following Prescribed Haircut
C07206,may nagsumbong na nakipagsuntukan sa gym. (unexcused tardiness/absence from class),Unexcused Tardiness/Absence From Class
C07207,nagreport si teacher na nagche-cheat sa exam sa computer lab. (consistent violation of rules),Consistent Violation of Rules
C07208,nagreport si teacher na walang suot na ID sa computer lab. (drug pushing),Drug Pushing
C07209,The student was observed nag-aaway malapit sa gate. (gambling or betting),Gambling or Betting
C07210,It was reported that nagdala ng cellphone kahit bawal sa gym. (smoking or drinking alcohol on campus),Smoking or Drinking Alcohol on Campus
C07211,The student was observed nagyoyosi sa hallway. (extortion or blackmail),Extortion or Blackmail
C07212,nahuli siya na naka improper uniform sa computer lab. (providing or financing drugs),Providing or Financing Drugs
C07213,nahuli siya na naglagay ng sticker sa ID sa computer lab. (leaving classroom without permission),Leaving Classroom Without Permission
C07214,may nagsumbong na naka improper uniform sa library. (jumping over the fence),Jumping Over the Fence
C07215,caught siya na uminom ng alak sa gym. (using gadgets without permission),Using Gadgets Without Permission
C07216,It was reported that walang suot na ID sa classroom. (conviction for criminal offense),Conviction for Criminal Offense
C07217,may nagsumbong na nagche-cheat sa exam sa computer lab. (verbal or physical altercation),Verbal or Physical Altercation
C07218,Based on teacher's report sumisigaw sa gym. (wearing school uniform improperly),Wearing School Uniform Improperly
C07219,Based on teacher's report nang-insulto ng teacher malapit sa gate. (indecent attire),Indecent Attire
C07220,caught siya na nagdala ng cellphone kahit bawal malapit sa gate. (wearing accessories not part of uniform),Wearing Accessories Not Part of Uniform
C07221,The student was caught nagche-cheat sa exam sa canteen. (purchase or sale of alcohol/cigarettes),Purchase or Sale of Alcohol/Cigarettes
C07222,sinabihan ako na nakipagsuntukan sa gym. (forgery),Forgery
C07223,Based on teacher's report walang suot na ID malapit sa gate. (willful damage of property),Willful Damage of Property
C07224,Based on teacher's report naglagay ng sticker sa ID sa gym. (providing or financing drugs),Providing or Financing Drugs
C07225,The student was caught nagyoyosi sa hallway. (wearing improper pe uniform),Wearing Improper PE Uniform
C07226,As stated in the complaint walang suot na ID malapit sa gate. (lack of respect to faculty),Lack of Respect to Faculty
C07227,As stated in the complaint sumisigaw sa canteen. (bullying faculty members),Bullying Faculty Members
C07228,sinabihan ako na naglagay ng sticker sa ID sa classroom. (recruitment in sororities/fraternities),Recruitment in Sororities/Fraternities
C07229,caught siya na nagpost ng bastos na picture sa library. (wearing improper pe uniform),Wearing Improper PE Uniform
C07230,sinabihan ako na nagdala ng cellphone kahit bawal malapit sa gate. (wearing school uniform improperly),Wearing School Uniform Improperly
C07231,The student was observed naka improper uniform sa classroom. (use of foul language),Use of Foul Language
C07232,nakita ko na sumisigaw sa classroom. (shouting or making noise in public areas),Shouting or Making Noise in Public Areas
C07233,sinabihan ako na nang-insulto ng teacher sa library. (lack of respect to faculty),Lack of Respect to Faculty
C07234,nakita ko na nangopya sa gym. (indecency in media),Indecency in Media
C07235,The student was observed nangopya sa library. (assault fellow students),Assault Fellow Students
C07236,nagreport si teacher na nagdala ng cellphone kahit bawal sa computer lab. (littering the campus),Littering the Campus
C07237,According to CCTV footage naka improper uniform sa library. (possession or use of weapons or drugs),Possession or Use of Weapons or Drugs
C07238,sinabihan ako na nakipagsuntukan sa library. (direct assault on authority),Direct Assault on Authority
C07239,The student was caught nagdala ng cellphone kahit bawal sa gym. (immoral conduct on/off campus),Immoral Conduct On/Off Campus
C07240,sinabihan ako na nakipagsuntukan sa computer lab. (engaging in trouble outside campus),Engaging in Trouble Outside Campus
C07241,nagreport si teacher na nang-insulto ng teacher sa canteen. (lack of respect to faculty),Lack of Respect to Faculty
C07242,caught siya na uminom ng alak sa hallway. (conviction for criminal offense),Conviction for Criminal Offense
C07243,It was reported that uminom ng alak sa computer lab. (deleting or damaging files),Deleting or Damaging Files
C07244,Based on teacher's report sumisigaw sa classroom. (indecent attire),Indecent Attire
C07245,The student was caught nakipagsuntukan malapit sa gate. (bullying students physically),Bullying Students Physically
C07246,According to CCTV footage nagpost ng bastos na picture sa hallway. (public display of affection),Public Display of Affection
C07247,Based on teacher's report uminom ng alak sa gym. (wearing scarves or caps),Wearing Scarves or Caps
C07248,The student was observed uminom ng alak malapit sa gate. (colored nail polish),Colored Nail Polish
C07249,According to CCTV footage nang-insulto ng teacher sa gym. (insubordination to authorities),Insubordination to Authorities
C07250,The student was caught nang-insulto ng teacher sa canteen. (engaging in trouble outside campus),Engaging in Trouble Outside Campus
C07251,According to CCTV footage naka improper uniform malapit sa gate. (vandalism),Vandalism
C07252,nahuli siya na naka improper uniform sa hallway. (falsification of documents),Falsification of Documents
C07253,nagreport si teacher na nakipagsuntukan sa canteen. (membership in fraternities),Membership in Fraternities
C07254,nakita ko na uminom ng alak sa canteen. (providing or financing drugs),Providing or Financing Drugs
C07255,According to CCTV footage naglagay ng sticker sa ID sa gym. (conviction for criminal offense),Conviction for Criminal Offense
C07256,may nagsumbong na nagdala ng cellphone kahit bawal sa canteen. (indecency in media),Indecency in Media
C07257,Based on teacher's report nangopya sa classroom. (insubordination to authorities),Insubordination to Authorities
C07258,As stated in the complaint nagche-cheat sa exam sa classroom. (stealing school or student property),Stealing School or Student Property
C07259,The student was observed nagpost ng bastos na picture sa classroom. (wearing inappropriate/incomplete uniform),Wearing Inappropriate/Incomplete Uniform
C07260,nakita ko na nagche-cheat sa exam sa hallway. (direct assault on authority),Direct Assault on Authority
C07261,The student was caught naglagay ng sticker sa ID sa canteen. (inciting others to break rules),Inciting Others to Break Rules
C07262,caught siya na nagyoyosi sa hallway. (lack of respect to faculty),Lack of Respect to Faculty
C07263,The student was caught naglagay ng sticker sa ID malapit sa gate. (possession or use of weapons or drugs),Possession or Use of Weapons or Drugs
C07264,According to CCTV footage walang suot na ID sa classroom. (shoplifting),Shoplifting
C07265,may nagsumbong na nagche-cheat sa exam sa computer lab. (using gadgets without permission),Using Gadgets Without Permission
C07266,As stated in the complaint walang suot na ID sa gym. (grave threats),Grave Threats
C07267,The student was caught nang-insulto ng teacher sa hallway. (unauthorized enrichment or theft attempt),Unauthorized Enrichment or Theft Attempt
C07268,The student was caught sumisigaw sa computer lab. (bullying students verbally),Bullying Students Verbally
C07269,As stated in the complaint nangopya sa classroom. (bullying students physically),Bullying Students Physically
C07270,The student was observed uminom ng alak sa gym. (placing stickers on school id),Placing Stickers on School ID
C07271,As stated in the complaint nagdala ng cellphone kahit bawal malapit sa gate. (placing stickers on school id),Placing Stickers on School ID
C07272,nakita ko na nag-aaway malapit sa gate. (consistent violation of rules),Consistent Violation of Rules
C07273,nakita ko na nagyoyosi sa hallway. (indecent attire),Indecent Attire
C07274,nakita ko na naglagay ng sticker sa ID sa gym. (unauthorized use of information),Unauthorized Use of Information
C07275,nakita ko na nagche-cheat sa exam sa hallway. (vandalism),Vandalism
C07276,The student was observed sumisigaw sa computer lab. (deleting or damaging files),Deleting or Damaging Files
C07277,The student was observed nagdala ng cellphone kahit bawal sa library. (conviction for criminal offense),Conviction for Criminal Offense
C07278,nahuli siya na nagpost ng bastos na picture sa hallway. (disobedience or disrespect to authority),Disobedience or Disrespect to Authority
C07279,nahuli siya na sumisigaw sa computer lab. (placing stickers on school id),Placing Stickers on School ID
C07280,Based on teacher's report nangopya sa library. (unauthorized access to school computer),Unauthorized Access to School Computer
C07281,According to CCTV footage naka improper uniform sa computer lab. (bringing dishonor to school),Bringing Dishonor to School
C07282,The student was caught naka improper uniform sa library. (not attending school activities),Not Attending School Activities
C07283,nagreport si teacher na nag-aaway sa computer lab. (using gadgets without permission),Using Gadgets Without Permission
C07284,It was reported that uminom ng alak sa hallway. (lending/borrowing another person’s id),Lending/Borrowing Another Person’s ID
C07285,The student was observed nakipagsuntukan sa canteen. (consistent violation of rules),Consistent Violation of Rules
C07286,As stated in the complaint uminom ng alak sa computer lab. (using another person’s identity),Using Another Person’s Identity
C07287,nahuli siya na walang suot na ID malapit sa gate. (providing or financing drugs),Providing or Financing Drugs
C07288,caught siya na nagyoyosi sa computer lab. (purchase or sale of alcohol/cigarettes),Purchase or Sale of Alcohol/Cigarettes
C07289,nagreport si teacher na naka improper uniform sa classroom. (shoplifting),Shoplifting
C07290,It was reported that sumisigaw sa canteen. (wearing accessories not part of uniform),Wearing Accessories Not Part of Uniform
C07291,Based on teacher's report nang-insulto ng teacher sa gym. (using gadgets without permission),Using Gadgets Without Permission
C07292,nagreport si teacher na walang suot na ID sa gym. (stealing school or student property),Stealing School or Student Property
C07293,The student was caught nagdala ng cellphone kahit bawal sa gym. (unauthorized use of information),Unauthorized Use of Information
C07294,nagreport si teacher na naglagay ng sticker sa ID sa canteen. (wearing improper pe uniform),Wearing Improper PE Uniform
C07295,may nagsumbong na nagpost ng bastos na picture malapit sa gate. (leaving classroom without permission),Leaving Classroom Without Permission
C07296,It was reported that nagyoyosi malapit sa gate. (wearing improper pe uniform),Wearing Improper PE Uniform
C07297,caught siya na sumisigaw sa library. (engaging in premarital sex),Engaging in Premarital Sex
C07298,According to CCTV footage nagdala ng cellphone kahit bawal sa computer lab. (bullying students physically),Bullying Students Physically
C07299,The student was observed nangopya sa canteen. (providing or financing drugs),Providing or Financing Drugs
C07300,sinabihan ako na nagche-cheat sa exam malapit sa gate. (gambling or betting),Gambling or Betting
C07301,The student was caught nagpost ng bastos na picture sa classroom. (shoplifting),Shoplifting
C07302,As stated in the complaint nang-insulto ng teacher sa canteen. (consistent violation of rules),Consistent Violation of Rules
C07303,The student was observed nakipagsuntukan sa classroom. (forging signatures),Forging Signatures
C07304,The student was caught nang-insulto ng teacher sa computer lab. (displaying pornographic materials),Displaying Pornographic Materials
C07305,Based on teacher's report sumisigaw sa gym. (public display of affection),Public Display of Affection
C07306,The student was caught nang-insulto ng teacher sa gym. (wearing ripped or revealing clothes),Wearing Ripped or Revealing Clothes
C07307,Based on teacher's report nag-aaway sa computer lab. (indecent attire),Indecent Attire
C07308,may nagsumbong na nang-insulto ng teacher sa classroom. (public display of affection),Public Display of Affection
C07309,nahuli siya na nagdala ng cellphone kahit bawal sa hallway. (willful damage of property),Willful Damage of Property
C07310,caught siya na nakipagsuntukan sa hallway. (public display of affection),Public Display of Affection
C07311,The student was caught nangopya sa canteen. (possession or use of weapons or drugs),Possession or Use of Weapons or Drugs
C07312,nahuli siya na nangopya malapit sa gate. (assault fellow students),Assault Fellow Students
C07313,nakita ko na nang-insulto ng teacher sa canteen. (lack of respect to faculty),Lack of Respect to Faculty
C07314,According to CCTV footage walang suot na ID malapit sa gate. (engaging in premarital sex),Engaging in Premarital Sex
C07315,nagreport si teacher na uminom ng alak sa gym. (colored or dyed hair/beard),Colored or Dyed Hair/Beard
C07316,The student was observed naglagay ng sticker sa ID sa gym. (wearing ripped or revealing clothes),Wearing Ripped or Revealing Clothes
C07317,nagreport si teacher na nang-insulto ng teacher sa classroom. (disobedience or disrespect to authority),Disobedience or Disrespect to Authority
C07318,caught siya na nangopya malapit sa gate. (engaging in premarital sex),Engaging in Premarital Sex
C07319,nagreport si teacher na naglagay ng sticker sa ID sa library. (bringing dishonor to school),Bringing Dishonor to School
C07320,As stated in the complaint nagyoyosi sa gym. (direct assault on authority),Direct Assault on Authority
C07321,It was reported that nagche-cheat sa exam sa canteen. (forgery),Forgery
C07322,It was reported that nag-aaway sa classroom. (recruitment in sororities/fraternities),Recruitment in Sororities/Fraternities
C07323,It was reported that nagpost ng bastos na picture sa gym. (using foul gestures),Using Foul Gestures
C07324,As stated in the complaint sumisigaw sa computer lab. (shouting or making noise in public areas),Shouting or Making Noise in Public Areas
C07325,nakita ko na nag-aaway sa library. (using another person’s identity),Using Another Person’s Identity
C07326,nagreport si teacher na nang-insulto ng teacher sa computer lab. (wearing inappropriate/incomplete uniform),Wearing Inappropriate/Incomplete Uniform
C07327,According to CCTV footage nangopya sa hallway. (colored or dyed hair/beard),Colored or Dyed Hair/Beard
C07328,may nagsumbong na sumisigaw sa canteen. (insubordination to authorities),Insubordination to Authorities
C07329,sinabihan ako na uminom ng alak malapit sa gate. (using foul gestures),Using Foul Gestures
C07330,nakita ko na nagdala ng cellphone kahit bawal sa gym. (colored nail polish),Colored Nail Polish
C07331,nakita ko na nakipagsuntukan sa computer lab. (posting destructive language online),Posting Destructive Language Online
C07332,The student was observed nagyoyosi sa hallway. (posting destructive language online),Posting Destructive Language Online
C07333,caught siya na nagche-cheat sa exam sa canteen. (verbal or physical altercation),Verbal or Physical Altercation
C07334,may nagsumbong na nangopya sa computer lab. (drug pushing),Drug Pushing
C07335,It was reported that nang-insulto ng teacher malapit sa gate. (colored or dyed hair/beard),Colored or Dyed Hair/Beard
C07336,As stated in the complaint sumisigaw sa library. (posting indecent pictures online),Posting Indecent Pictures Online
C07337,It was reported that uminom ng alak sa classroom. (shoplifting),Shoplifting
C07338,nakita ko na nagyoyosi sa computer lab. (wearing inappropriate/incomplete uniform),Wearing Inappropriate/Incomplete Uniform
C07339,It was reported that nakipagsuntukan malapit sa gate. (use of foul language),Use of Foul Language
C07340,The student was observed nakipagsuntukan sa classroom. (participating in indecent conduct),Participating in Indecent Conduct
C07341,As stated in the complaint nagdala ng cellphone kahit bawal sa library. (public display of affection),Public Display of Affection
C07342,Based on teacher's report nangopya sa hallway. (engaging in trouble outside campus),Engaging in Trouble Outside Campus
C07343,nagreport si teacher na nagche-cheat sa exam sa computer lab. (posting indecent pictures online),Posting Indecent Pictures Online
C07344,As stated in the complaint naglagay ng sticker sa ID sa classroom. (grave threats),Grave Threats
C07345,The student was caught nagpost ng bastos na picture sa classroom. (insubordination to authorities),Insubordination to Authorities
C07346,Based on teacher's report sumisigaw sa canteen. (extortion or blackmail),Extortion or Blackmail
C07347,nagreport si teacher na nag-aaway sa canteen. (direct assault on authority),Direct Assault on Authority
C07348,nahuli siya na nagdala ng cellphone kahit bawal sa computer lab. (extortion or blackmail),Extortion or Blackmail
C07349,The student was observed sumisigaw sa hallway. (drug pushing),Drug Pushing
C07350,The student was observed naka improper uniform sa computer lab. (engaging in gambling),Engaging in Gambling
C07351,may nagsumbong na nagdala ng cellphone kahit bawal sa gym. (falsification of documents),Falsification of Documents
C07352,nakita ko na nagyoyosi sa library. (vandalism),Vandalism
C07353,nahuli siya na nagyoyosi sa gym. (using another person’s identity),Using Another Person’s Identity
C07354,caught siya na sumisigaw sa library. (wearing scarves or caps),Wearing Scarves or Caps
C07355,As stated in the complaint nagdala ng cellphone kahit bawal malapit sa gate. (not attending school activities),Not Attending School Activities
C07356,According to CCTV footage naka improper uniform sa canteen. (using another person’s identity),Using Another Person’s Identity
C07357,The student was caught nakipagsuntukan malapit sa gate. (engaging in premarital sex),Engaging in Premarital Sex
C07358,may nagsumbong na nag-aaway sa hallway. (not following prescribed haircut),Not Following Prescribed Haircut
C07359,caught siya na walang suot na ID sa canteen. (consistent violation of rules),Consistent Violation of Rules
